overall,round,team,player,nat,pos,age,birthMonth,to,amateurTeam,amateurLeage,nhl_a,nhl_pts,nhl_plusMinus,nhl_pim,nhlG_g,nhlG_w,nhlG_l,nhlG_tiesOT,nhlG_saveP,nhlG_avgGoalsAgainst,pointShare
130,5,New Jersey Devils,Artem Shlaine,RU,C,18,3,,Shattuck-St. Mary's School ,High-MN,,,,,,,,,,,
131,5,Buffalo Sabres,Matteo Costantini,CA,C,18,8,,Buffalo ,OJHL,,,,,,,,,,,
132,5,Detroit Red Wings,Alex Cotton,CA,D,19,5,,Lethbridge Hurricanes ,WHL,,,,,,,,,,,
133,5,Winnipeg Jets,Anton Johannesson,SE,D,18,3,,HV71 Jr. ,Sweden Jr.,,,,,,,,,,,
134,5,New York Rangers,Brett Berard,US,LW,18,9,2025,USA U-18 Development Team ,USDP/USHL,4,10,-6,8,,,,,,,0.7
135,5,Philadelphia Flyers,Elliot Desnoyers,CA,LW,,1,2023,Moncton Wildcats ,QMJHL,0,0,-2,0,,,,,,,-0.2
136,5,Montreal Canadiens,Jakub Dobes,CZ,G,19,5,2025,Omaha Lancers ,USHL,0,0,0,0,16,7,4,3,0.909,2.74,3.1
137,5,Toronto Maple Leafs,Dmitry Ovchinnikov,RU,C,18,8,,Sibirskie Snaipery Novosibirsk ,Russia Jr.,,,,,,,,,,,
138,5,Edmonton Oilers,Maksim Berezkin,RU,LW,18,10,,Loko Yaroslavl ,Russia Jr.,,,,,,,,,,,
139,5,Colorado Avalanche,Ryder Rolston,US,RW,18,10,,Waterloo Black Hawks ,USHL,,,,,,,,,,,
140,5,Los Angeles Kings,Ben Meehan,US,D,19,4,,Cedar Rapids RoughRiders ,USHL,,,,,,,,,,,
141,5,Chicago Blackhawks,Isaak Phillips,CA,D,18,9,2025,Sudbury Wolves ,OHL,10,12,-37,31,,,,,,,0.1
142,5,Arizona Coyotes,Carson Bantle,US,LW,18,1,,Madison Capitols ,USHL,,,,,,,,,,,
143,5,Calgary Flames,Ryan Francis,CA,RW,18,12,,Cape Breton Eagles ,QMJHL,,,,,,,,,,,
144,5,Vancouver Canucks,Jacob Truscott,US,D,18,4,,USA U-18 Development Team ,USDP/USHL,,,,,,,,,,,
145,5,Columbus Blue Jackets,Ole Julian Bjorgvik-Holm,NO,D,18,5,,Mississauga Steelheads ,OHL,,,,,,,,,,,
146,5,Minnesota Wild,Pavel Novak,CZ,RW,18,4,,Kelowna Rockets ,WHL,,,,,,,,,,,
147,5,Tampa Bay Lightning,Jaydon Dureau,CA,LW,19,1,,Portland Winterhawks ,WHL,,,,,,,,,,,
